product_id,product_name,main_category,rating_num,rating_count_num,review_length_chars,vader_negative_score,vader_neutral_score,vader_positive_score,vader_compound_score,vader_sentiment_label,baseline_sentiment_score,baseline_sentiment_label,dominant_topic,label_agreement,vader_strength
B095XCRDQW,"Esquire Laundry Basket Brown, 50 Ltr Capacity(Plastic)",Home&Kitchen,4.3,5911.0,1381,0.138,0.779,0.083,-0.9399,negative,0.9124211282466754,positive,Product Quality & Durability,False,0.9399
B08WRKSF9D,"V-Guard Divino 5 Star Rated 15 Litre Storage Water Heater (Geyser) with Advanced Safety Features, White",Home&Kitchen,4.4,5865.0,1475,0.065,0.843,0.093,0.8834,positive,-0.1414213562373095,negative,Product Quality & Durability,False,0.8834
B0B19VJXQZ,"ECOVACS DEEBOT N8 2-in-1 Robotic Vacuum Cleaner, 2022 New Launch, Most Powerful Suction, Covers 2000+ Sq. Ft in One Charge, Advanced dToF Technology with OZMO Mopping (DEEBOT N8) - White",Home&Kitchen,4.4,5298.0,7814,0.032,0.88,0.088,0.9979,positive,0.1184178492834674,neutral,Charging & Power,False,0.9979
B07989VV5K,"Usha Steam Pro SI 3713, 1300 W Steam Iron, Powerful steam Output up to 18 g/min, Non-Stick Soleplate (White & Blue)",Home&Kitchen,3.6,4881.0,388,0.065,0.778,0.157,0.7312,positive,-0.1360827634879543,negative,Product Quality & Durability,False,0.7312
B0117H7GZ6,GENERIC Ultra-Mini Bluetooth CSR 4.0 USB Dongle Adapter for Windows Computer ( Black:Golden),Computers&Accessories,3.4,4642.0,3909,0.043,0.87,0.087,0.9778,positive,-0.0440225453162811,neutral,Charging & Power,False,0.9778
B06XMZV7RH,ATOM Selves-MH 200 GM Digital Pocket Scale,Home&Kitchen,3.9,4584.0,395,0.156,0.681,0.163,-0.115,negative,0.5494422557947561,positive,Product Quality & Durability,False,0.115
B00K32PEW4,"Casio MJ-120D 150 Steps Check and Correct Desktop Calculator with Tax Keys, Black",OfficeProducts,4.4,4426.0,235,0.07,0.93,0.0,-0.2755,negative,0.5222329678670935,positive,General Experience,False,0.2755
B0B53QFZPY,"PTron Newly Launched Force X10 Bluetooth Calling Smartwatch with 1.7"" Full Touch Color Display, Real Heart Rate Monitor, SpO2, Watch Faces, 5 Days Runtime, Fitness Trackers & IP68 Waterproof (Pink)",Electronics,3.3,4415.0,375,0.123,0.831,0.045,-0.607,negative,0.0,neutral,Compatibility & Usability,False,0.607
B0B53NXFFR,"PTron Newly Launched Force X10 Bluetooth Calling Smartwatch with 1.7"" Full Touch Display, Real Heart Rate Monitor, SpO2, Watch Faces, 5 Days Runtime, Health/Fitness Trackers & IP68 Waterproof (Black)",Electronics,3.3,4415.0,375,0.123,0.831,0.045,-0.607,negative,0.0,neutral,Compatibility & Usability,False,0.607
B0B53QLB9H,"PTron Newly Launched Force X10 Bluetooth Calling Smartwatch with 1.7"" Full Touch Color Display, Real Heart Rate Monitor, SpO2, Watch Faces, 5 Days Runtime, Fitness Trackers & IP68 Waterproof (Blue)",Electronics,3.3,4415.0,375,0.123,0.831,0.045,-0.607,negative,0.0,neutral,Compatibility & Usability,False,0.607
B07BKSSDR2,Dr Trust Electronic Kitchen Digital Scale Weighing Machine (Blue),Health&PersonalCare,4.0,3663.0,1843,0.03,0.872,0.099,0.965,positive,0.0620173672946042,neutral,Price & Value,False,0.965
B014HDJ7ZE,"Bajaj Majesty Duetto Gas 6 Ltr Vertical Water Heater ( LPG), White",Home&Kitchen,3.9,3584.0,802,0.111,0.858,0.031,-0.9228,negative,0.647150228929434,positive,Product Quality & Durability,False,0.9228
B07LG96SDB,ESN 999 Supreme Quality 1500W Immersion Water Heater Rod (Black),Home&Kitchen,3.8,3195.0,302,0.095,0.874,0.031,-0.5106,negative,0.3015113445777636,positive,Product Quality & Durability,False,0.5106
B06XGWRKYT,Kodak 80 cm (32 Inches) HD Ready LED TV Kodak 32HDX900S (Black),Electronics,3.8,3022.0,906,0.101,0.806,0.093,-0.5404,negative,0.086386842558136,neutral,Product Quality & Durability,False,0.5404
B01M5F614J,"Morphy Richards OFR Room Heater, 09 Fin 2000 Watts Oil Filled Room Heater , ISI Approved (OFR 9 Grey)",Home&Kitchen,4.0,2961.0,1336,0.103,0.836,0.061,-0.8605,negative,0.2148344622118298,positive,Compatibility & Usability,False,0.8605
B094JNXNPV,"Ambrane Unbreakable 3 in 1 Fast Charging Braided Multipurpose Cable for Speaker with 2.1 A Speed - 1.25 meter, Black",Computers&Accessories,4.0,2766.0,943,0.066,0.833,0.101,0.7626,positive,0.0,neutral,Charging & Power,False,0.7626
B094JNXNPV,"Ambrane Unbreakable 3 in 1 Fast Charging Braided Multipurpose Cable for Speaker with 2.1 A Speed - 1.25 meter, Black",Computers&Accessories,4.0,2766.0,943,0.066,0.833,0.101,0.7626,positive,0.0,neutral,Charging & Power,False,0.7626
B078KRFWQB,"Havells Cista Room Heater, White, 2000 Watts",Home&Kitchen,3.8,2732.0,828,0.125,0.799,0.076,-0.7187,negative,0.1841149235796647,positive,Compatibility & Usability,False,0.7187
B07ZR4S1G4,Universal Remote Control for All Sony TV for All LCD LED and Bravia TVs Remote,Electronics,4.4,2640.0,723,0.163,0.682,0.155,-0.0179,neutral,0.6123724356957946,positive,Product Quality & Durability,False,0.0179
B01NBX5RSB,HP 65W AC Laptops Charger Adapter 4.5mm for HP Pavilion Black (Without Power Cable),Computers&Accessories,4.3,2585.0,222,0.0,1.0,0.0,0.0,neutral,0.9284766908852594,positive,Product Quality & Durability,False,0.0
B084BR3QX8,LAPSTER Accessories Power Cable Cord 2 Pin Laptop Adapter and Tape Recorder 1.5M,Computers&Accessories,3.5,2523.0,467,0.158,0.708,0.134,-0.4939,negative,0.6974858324629157,positive,Product Quality & Durability,False,0.4939
B08ZXZ362Z,"akiara - Makes life easy Mini Sewing Machine for Home Tailoring use | Mini Silai Machine with Sewing Kit Set Sewing Box with Thread Scissors, Needle All in One Sewing Accessories (White & Purple)",Home&Kitchen,3.5,2283.0,480,0.214,0.664,0.122,-0.7681,negative,0.2373563316387706,positive,Product Quality & Durability,False,0.7681
B085LPT5F4,Solidaire 550-Watt Mixer Grinder with 3 Jars (Black) (SLD-550-B),Home&Kitchen,3.9,2162.0,398,0.0,0.964,0.036,0.296,positive,0.0,neutral,General Experience,False,0.296
B071VMP1Z4,LRIPL Compatible Sony Bravia LCD/led Remote Works with Almost All Sony led/LCD tv's,Electronics,3.9,1951.0,660,0.089,0.817,0.094,-0.3434,negative,0.9233805168766388,positive,Product Quality & Durability,False,0.3434
B07VVXJ2P5,SVM Products Unbreakable Set Top Box Stand with Dual Remote Holder (Black),Electronics,3.6,1796.0,462,0.11,0.801,0.089,-0.4109,negative,0.8249579113843055,positive,Price & Value,False,0.4109
B09KH58JZR,Portronics Konnect L POR-1403 Fast Charging 3A Type-C Cable 1.2 Meter with Charge & Sync Function for All Type-C Devices (White),Computers&Accessories,4.1,1717.0,1229,0.099,0.833,0.068,-0.8288,negative,0.227429413073671,positive,Charging & Power,False,0.8288
B086PXQ2R4,"Classmate Long Book - Unruled, 160 Pages, 314 mm x 194 mm - Pack Of 3",OfficeProducts,4.5,1674.0,751,0.108,0.77,0.122,-0.0344,neutral,0.6897304947150052,positive,Delivery & Packaging,False,0.0344
B07DL1KC3H,Isoelite Remote Compatible for Samsung LED/LCD Remote Control Works with All Samsung LED/LCD TV Model No :- BN59-607A (Please Match The Image with Your Old Remote),Electronics,4.0,1588.0,943,0.074,0.801,0.125,0.8014,positive,0.0909090909090909,neutral,Compatibility & Usability,False,0.8014
B00H0B29DI,USHA Heat Convector 812 T 2000-Watt with Instant Heating Feature (Black),Home&Kitchen,3.8,1558.0,7563,0.07,0.807,0.123,0.9977,positive,0.0307583125960432,neutral,Charging & Power,False,0.9977
B00RFWNJMC,Airtel DigitalTV DTH Remote SD/HD/HD Recording Compatible for Television (Shining Black ),Electronics,3.7,1383.0,289,0.117,0.79,0.093,-0.3071,negative,0.6172133998483676,positive,Product Quality & Durability,False,0.3071
B07HK53XM4,"Bulfyss Plastic Sticky Lint Roller Hair Remover Cleaner Set of 5 Rolls 150 Sheets, 30 Sheets Each roll Lint Roller Remover for Clothes, Furniture, Carpet, Dog Fur, Sweater, Dust & Dirt",Home&Kitchen,3.5,1367.0,1284,0.123,0.776,0.101,-0.7265,negative,0.2193817272381391,positive,Product Quality & Durability,False,0.7265
B09MT94QLL,"Havells Glaze 74W Pearl Ivory Gold Ceiling Fan, Sweep: 1200 Mm",Home&Kitchen,4.2,1353.0,315,0.041,0.818,0.142,0.4246,positive,-0.1524985703326046,negative,Delivery & Packaging,False,0.4246
B083GQGT3Z,"Caprigo Heavy Duty TV Wall Mount Stand for 12 to 27 inches LED/LCD/Monitor Screen's, Full Motion Rotatable Universal TV & Monitor Wall Mount Bracket with Swivel & Tilt Adjustments (Single Arm - M416)",Electronics,4.1,1161.0,1305,0.125,0.753,0.121,-0.0161,neutral,0.6546536707079771,positive,Product Quality & Durability,False,0.0161
B00GHL8VP2,"USHA 1212 PTC with Adjustable Thermostat Fan Heater (Black/Brown, 1500-Watts).",Home&Kitchen,4.1,1127.0,723,0.011,0.811,0.178,0.972,positive,-0.0957826285221151,neutral,Price & Value,False,0.972
B01N1XVVLC,"Bajaj OFR Room Heater, 13 Fin 2900 Watts Oil Filled Room Heater with 400W PTC Ceramic Fan Heater, ISI Approved (Majesty 13F Plus Black)",Home&Kitchen,4.1,1017.0,2167,0.025,0.817,0.158,0.9954,positive,0.1109400392450458,neutral,Price & Value,False,0.9954
B09N3BFP4M,"Bajaj New Shakti Neo Plus 15 Litre 4 Star Rated Storage Water Heater (Geyser) with Multiple Safety System, White",Home&Kitchen,3.9,959.0,552,0.086,0.803,0.111,0.2797,positive,0.1104315260748465,neutral,Compatibility & Usability,False,0.2797
B09FPP3R1D,"Glen 3 in 1 Electric Multi Cooker - Steam, Cook & Egg Boiler with 350 W (SA 3035MC) - 350 Watts",Home&Kitchen,4.1,827.0,1282,0.063,0.817,0.119,0.9378,positive,0.0729324957489472,neutral,Delivery & Packaging,False,0.9378
B09WF4Q7B3,"Wipro Vesta 1380W Cordless Steam Iron Quick heat up with 20gm/ min Steam Burst, Scratch resistant Ceramic soleplate ,Vertical and Horizontal Ironing, Steam burst of upto .8g/ shot",Home&Kitchen,3.6,771.0,1227,0.088,0.84,0.072,-0.7037,negative,0.0,neutral,Delivery & Packaging,False,0.7037
B08HDCWDXD,"Eureka Forbes Active Clean 700 Watts Powerful Suction & Blower Vacuum Cleaner with Washable HEPA Filter & 6 Accessories,1 Year Warranty,Compact,Light Weight & Easy to use (Red & Black)",Home&Kitchen,4.0,743.0,578,0.1,0.726,0.174,0.8767,positive,-0.1125087900926024,neutral,Charging & Power,False,0.8767
B07F1T31ZZ,"Raffles Premium Stainless Steel South Indian Coffee Filter/Drip Coffee Maker, 2-3 Cups, 150 ml",Home&Kitchen,4.1,693.0,1334,0.079,0.828,0.094,0.0148,neutral,0.5671049640066687,positive,Price & Value,False,0.0148
B09Q3M3WLJ,Robustrion [Anti-Scratch] & [Smudge Proof] [Bubble Free] Premium Tempered Glass Screen Protector Guard for Samsung Galaxy Tab A8 10.5 inch [SM-X200/X205/X207] 2022,Computers&Accessories,4.0,691.0,754,0.023,0.939,0.038,-0.0387,neutral,0.8,positive,Price & Value,False,0.0387
B0B2CPVXHX,Robustrion Anti-Scratch & Smudge Proof Tempered Glass Screen Protector for Xiaomi Mi Pad 5 11 inch,Computers&Accessories,4.1,670.0,582,0.162,0.686,0.152,-0.2942,negative,0.2182178902359924,positive,Product Quality & Durability,False,0.2942
B08YK7BBD2,"Nirdambhay Mini Bag Sealer, 2 in 1 Heat Sealer and Cutter Handheld Sealing Machine Portable Bag Resealer Sealer for Plastic Bags Food Storage Snack Fresh Bag Sealer (Including 2 AA Battery)",Home&Kitchen,3.0,617.0,1266,0.091,0.817,0.092,-0.1573,negative,0.4435327625727437,positive,Product Quality & Durability,False,0.1573
B077BTLQ67,"Orient Electric Aura Neo Instant 3L Water Heater (Geyser), 5-level Safety Shield, Stainless Steel Tank (White & Turquoise)",Home&Kitchen,3.9,588.0,2563,0.052,0.861,0.087,0.9503,positive,0.1067521025367247,neutral,Delivery & Packaging,False,0.9503
B08XMSKKMM,7SEVEN® Bluetooth Voice Command Remote for Xiaomi Redmi Mi Smart TV with Netflix & Prime Video Hot Keys XMRM-00A,Electronics,3.3,576.0,1090,0.109,0.784,0.107,0.2981,positive,0.0,neutral,Compatibility & Usability,False,0.2981
B078JF6X9B,"Havells Instanio 3-Litre 4.5KW Instant Water Heater (Geyser), White Blue",Home&Kitchen,4.2,561.0,6032,0.014,0.913,0.074,0.9956,positive,-0.0689245516795577,neutral,Price & Value,False,0.9956
B0B7FJNSZR,Proven® Copper + Mineral RO+UV+UF 10 to 12 Liter RO + UV + TDS ADJUSTER Water Purifier with Copper Charge Technology black & copper Best For Home and Office (Made In India),Home&Kitchen,4.4,535.0,578,0.053,0.853,0.094,0.5859,positive,0.0,neutral,General Experience,False,0.5859
B09C6FML9B,"Duracell Micro USB 3A Braided Sync & Fast Charging Cable, 3.9 Feet (1.2M). Supports QC 2.0/3.0 Charging, High Speed Data Transmission - Black",Computers&Accessories,4.1,491.0,629,0.131,0.764,0.105,-0.6026,negative,0.52999894000318,positive,Charging & Power,False,0.6026
B0B4KPCBSH,IKEA Frother for Milk,Home&Kitchen,3.3,478.0,999,0.13,0.839,0.031,-0.9396,negative,-0.0816496580927726,neutral,Product Quality & Durability,False,0.9396
B09SZ5TWHW,"Swiss Military VC03 Wireless Car Vacuum Cleaner | Wireless Vacuum Cleaner for Home, Car, Living Room | Wireless Vacuum Cleaner Dust Collection/Lighting Car Pet Hair Vacuum with Powerful Motor",Home&Kitchen,3.9,463.0,1051,0.128,0.758,0.115,-0.3662,negative,0.329914439536929,positive,Delivery & Packaging,False,0.3662
B099S26HWG,"Classmate Pulse 1 Subject Notebook - 240mm x 180mm , Soft Cover, 180 Pages, Single Line, Pack of 4",OfficeProducts,4.2,419.0,177,0.0,1.0,0.0,0.0,neutral,0.5883484054145521,positive,Product Quality & Durability,False,0.0
B09VL9KFDB,Havells Gatik Neo 400mm Pedestal Fan (Aqua Blue),Home&Kitchen,3.8,397.0,456,0.124,0.678,0.198,0.6511,positive,-0.625,negative,Product Quality & Durability,False,0.6511
